id,gender,monetary,recency,frequency,duration,purchase
10002,M,138,28,3,40,0
10003,F,172,16,2,20,0
10004,F,272,8,1,8,0
10005,F,149,16,1,16,0
10006,F,113,8,1,8,1
10007,M,15,26,1,26,0
10008,F,238,2,11,42,0
10009,F,418,6,11,66,1
10010,F,123,12,1,12,0
10011,F,294,6,2,8,0
10012,F,173,14,2,16,0
10013,F,226,14,1,14,0
10014,M,288,6,3,18,0
10015,M,15,26,1,26,0
10016,F,134,2,2,6,0
10017,F,176,8,3,20,0
10018,M,447,8,12,34,0
10019,F,207,12,2,18,0
10020,F,301,12,2,14,0
10021,M,202,10,2,16,0
10022,F,87,16,1,16,0
10023,M,388,24,9,56,0
10024,F,114,2,2,6,0
10025,F,297,14,2,22,0
10026,F,29,16,1,16,0
10027,M,325,12,7,26,0
10028,F,211,14,12,68,0
10029,M,128,8,2,10,0
10030,F,240,14,1,14,0
10031,F,203,28,12,62,0
10032,F,295,8,9,60,0
10033,F,254,16,1,16,0
10034,F,350,4,9,28,0
10035,F,132,14,2,20,0
10036,F,71,10,1,10,0
10037,F,55,8,1,8,0
10038,M,146,14,1,14,0
10039,F,190,22,1,22,0
10040,F,123,10,1,10,0
10041,F,336,18,6,32,1
10042,F,246,12,2,14,0
10043,F,260,2,11,46,0
10044,F,138,14,9,38,0
10045,F,52,34,1,34,0
10046,F,138,22,7,56,0
10047,F,228,2,1,2,0
10048,F,447,30,11,84,0
10049,F,148,12,2,20,0
10050,F,341,14,4,32,0
10051,F,257,10,1,10,0
10052,F,102,22,2,24,0
10053,F,198,14,6,46,0
10054,F,264,18,2,20,0
10055,F,186,6,12,78,1
10056,M,145,10,8,50,0
10057,M,211,6,1,6,0
10058,F,289,4,5,32,0
10059,F,97,6,2,10,0
10060,F,145,6,2,12,0
10061,F,190,16,1,16,0
10062,F,254,14,1,14,0
10063,M,185,14,6,44,0
10064,F,143,2,2,6,0
10065,M,182,10,2,14,0
10066,M,123,8,3,18,0
10067,F,190,12,1,12,0
10068,M,251,10,12,64,0
10069,M,321,28,10,68,0
10070,F,261,6,1,6,0
10071,F,255,14,1,14,0
10072,F,336,14,4,30,0
10073,F,180,16,5,42,1
10074,F,395,14,11,66,0
10075,M,248,14,7,40,0
10076,F,73,14,4,32,0
10077,M,234,14,5,26,0
10078,F,284,10,1,10,0
10079,F,187,14,1,14,0
10080,F,398,32,11,64,0
10081,F,252,10,1,10,0
10082,F,201,14,1,14,0
10083,F,152,8,8,54,1
10084,F,185,16,2,18,0
10085,F,274,14,1,14,0
10086,F,51,12,1,12,0
10087,M,70,16,1,16,0
10088,F,172,26,1,26,0
10089,F,348,2,7,38,0
10090,F,240,6,3,20,0
10091,F,197,10,12,36,0
10092,F,436,4,12,38,1
10093,M,175,34,2,42,0
10094,M,127,12,2,16,0
10095,F,275,2,4,20,0
10096,M,239,20,2,28,0
10097,F,263,14,2,20,0
10098,F,72,12,4,26,0
10099,F,274,12,2,20,0
10100,M,320,2,3,18,1
10101,F,197,34,2,36,0
10102,F,300,4,2,10,0
10103,F,268,4,1,4,1
10104,M,89,2,1,2,0
10105,F,107,14,2,20,0
10106,M,253,34,2,38,0
10107,M,62,14,1,14,0
10108,M,251,8,7,24,0
10109,F,339,26,7,60,0
10110,F,282,12,12,36,0
10111,F,240,14,7,48,0
10112,M,135,14,1,14,0
10113,F,82,10,1,10,0
10114,F,158,24,5,38,0
10115,M,49,14,1,14,0
10116,F,213,4,2,10,0
10117,M,365,8,11,60,1
10118,M,248,14,1,14,0
10119,F,184,2,2,10,0
10120,F,253,10,4,20,1
10121,F,256,14,9,58,0
10122,M,105,10,2,14,0
10123,F,113,20,1,20,0
10124,F,332,16,11,54,0
10125,F,226,14,6,28,0
10126,M,81,22,1,22,0
10127,F,330,10,10,38,0
10128,F,118,16,1,16,0
10129,F,313,8,3,22,0
10130,F,315,28,2,34,0
10131,F,326,14,2,22,0
10132,F,89,14,5,38,0
10133,F,330,28,11,66,0
10134,F,255,30,1,30,0
10135,F,175,14,1,14,0
10136,F,198,2,12,62,1
10137,M,280,6,2,12,1
10138,F,294,28,7,56,0
10139,F,249,12,3,20,0
10140,M,37,8,2,12,0
10141,M,289,20,2,28,0
10142,F,71,30,1,30,0
10143,F,92,12,3,28,0
10144,M,44,12,2,20,0
10145,F,393,12,11,50,1
10146,F,211,6,1,6,0
10147,F,40,28,1,28,0
10148,F,218,24,2,30,0
10149,F,170,16,2,20,0
10150,F,138,10,7,38,1
10151,F,262,16,9,58,0
10152,F,200,2,10,32,0
10153,F,254,6,3,24,0
10154,M,183,18,2,22,0
10155,F,186,16,7,54,0
10156,F,320,6,5,24,0
10157,F,222,32,11,70,0
10158,M,142,14,2,20,1
10159,M,251,10,2,18,1
10160,F,202,2,1,2,0
10161,M,343,10,4,30,0
10162,F,308,12,1,12,0
10163,F,313,12,1,12,0
10164,F,213,2,1,2,0
10165,F,258,4,2,8,0
10166,F,27,12,1,12,0
10167,M,106,12,7,26,0
10168,M,56,14,1,14,0
10169,F,243,10,1,10,0
10170,F,57,10,2,14,0
10171,M,20,24,1,24,0
10172,F,210,16,1,16,0
10173,F,252,12,1,12,0
10174,F,303,24,1,24,0
10175,F,52,4,2,6,0
10176,F,293,14,10,68,0
10177,F,294,10,12,58,0
10178,M,130,14,2,18,1
10179,F,117,24,2,32,0
10180,F,308,6,1,6,1
10181,F,301,2,2,4,0
10182,F,33,16,2,22,0
10183,M,332,10,12,66,0
10184,F,122,22,1,22,0
10185,F,341,2,9,26,0
10186,F,132,18,2,20,0
10187,F,362,6,6,28,1
10188,F,219,32,2,40,0
10189,M,318,12,3,24,0
10190,F,199,10,1,10,0
10191,F,324,26,2,30,0
10192,M,333,2,4,18,0
10193,F,63,4,1,4,0
10194,F,263,18,7,58,0
10195,F,146,36,2,38,0
10196,F,251,10,2,18,1
10197,F,75,8,2,14,0
10198,F,284,12,1,12,0
10199,F,171,14,8,58,0
10200,F,248,34,12,72,0
10201,F,57,2,1,2,0
10202,M,260,34,11,74,0
10203,F,180,4,10,54,0
10204,F,251,16,2,20,0
10205,F,303,10,3,20,0
10206,M,382,12,11,70,0
10207,F,314,2,1,2,0
10208,F,32,26,2,32,0
10209,F,266,6,6,28,0
10210,M,278,16,12,42,0
10211,F,249,16,1,16,1
10212,F,152,12,1,12,0
10213,F,102,8,3,22,0
10214,M,177,24,1,24,0
10215,M,214,10,1,10,0
10216,M,278,12,2,18,0
10217,M,164,22,2,26,0
10218,F,271,6,2,8,0
10219,F,39,16,1,16,0
10220,M,415,26,12,74,0
10221,F,123,14,2,18,0
10222,F,69,14,2,18,0
10223,F,311,14,9,50,1
10224,F,33,12,1,12,0
10225,F,172,16,1,16,0
10226,F,236,16,2,20,0
10227,F,106,4,1,4,0
10228,M,415,4,9,26,0
10229,F,219,4,5,22,0
10230,M,180,8,2,12,1
10231,M,227,30,2,34,1
10232,F,266,6,2,10,0
10233,F,437,16,11,58,0
10234,F,188,10,1,10,0
10235,F,285,10,6,38,0
10236,M,308,6,9,34,0
10237,M,162,32,2,36,0
10238,F,371,26,12,66,0
10239,F,44,2,1,2,1
10240,F,115,24,1,24,0
10241,F,221,30,2,38,0
10242,M,240,34,8,54,0
10243,M,103,2,2,4,0
10244,M,349,2,8,22,1
10245,F,328,26,12,62,0
10246,M,106,16,6,44,0
10247,F,167,16,1,16,0
10248,F,87,8,4,18,0
10249,F,279,6,2,14,0
10250,F,96,16,1,16,0
10251,F,62,12,1,12,0
10252,F,131,22,1,22,0
10253,M,286,14,2,16,0
10254,F,183,20,1,20,0
10255,F,146,6,2,10,0
10256,F,133,32,2,36,0
10257,F,194,28,2,30,0
10258,M,180,28,2,36,0
10259,F,326,2,12,70,0
10260,M,96,26,2,34,0
10261,F,170,6,5,28,0
10262,F,408,16,10,48,0
10263,M,32,14,1,14,0
10264,M,234,14,1,14,0
10265,F,352,12,11,66,0
10266,F,319,12,8,32,0
10267,F,242,10,5,32,0
10268,M,296,6,2,12,0
10269,M,229,4,12,62,0
10270,F,264,4,2,12,0
10271,F,186,2,10,56,1
10272,M,460,12,11,36,0
10273,F,131,14,1,14,0
10274,F,312,14,1,14,0
10275,F,78,6,2,10,0
10276,F,196,14,9,58,0
10277,F,223,16,7,44,0
10278,F,306,4,1,4,0
10279,F,48,16,2,22,0
10280,M,294,30,3,38,0
10281,F,72,28,1,28,0
10282,F,285,14,11,52,0
10283,F,165,12,1,12,0
10284,F,265,4,7,40,0
10285,F,301,16,5,26,0
10286,M,84,6,1,6,1
10287,M,146,22,2,26,0
10288,M,312,36,10,58,0
10289,F,54,14,3,22,0
10290,F,196,10,2,18,0
10291,F,404,12,7,46,0
10292,F,310,12,2,16,0
10293,M,243,2,12,34,0
10294,F,324,16,2,24,0
10295,M,368,16,9,58,0
10296,M,70,4,2,6,0
10297,F,276,12,2,14,0
10298,F,159,12,8,44,0
10299,F,313,28,2,32,0
10300,F,136,24,1,24,0
10301,F,357,12,12,60,0
10302,M,147,12,1,12,0
10303,M,107,16,1,16,0
10304,F,372,8,11,72,0
10305,M,235,10,1,10,0
10306,F,265,22,10,54,0
10307,M,128,2,4,26,0
10308,F,231,4,1,4,0
10309,F,194,2,2,6,0
10310,F,264,16,2,24,0
10311,F,260,4,3,18,0
10312,F,441,36,10,74,0
10313,M,33,12,2,14,0
10314,F,372,10,5,20,0
10315,F,63,22,1,22,0
10316,M,63,16,2,20,0
10317,F,33,10,2,16,0
10318,F,156,18,10,52,0
10319,M,45,4,2,10,0
10320,F,196,2,12,26,0
10321,M,176,8,1,8,0
10322,F,220,4,1,4,0
10323,M,284,10,12,34,0
10324,F,274,6,1,6,0
10325,F,316,16,6,32,0
10326,F,259,12,2,18,0
10327,F,91,2,2,10,0
10328,F,419,10,11,44,0
10329,F,313,16,1,16,0
10330,M,211,6,11,44,0
